rank,id,county_name,media_market,enrollment_score
138,fb0b1eeea5751ed0d7901635cfab4d2a,brazoria,houston tx,0.9017873030611205
139,2cf4743faee46815368d684902b0dad6,liberty,houston tx,0.9012771376861715
140,ae6396c5dc2cc1efb1d9b493c96b2c88,harris,houston tx,0.900820626082026
141,8001ce9ad284ed30904edfa6c1ef6762,liberty,houston tx,0.899953542877636
142,1914b59a72b4990fea60902d15d33560,harris,houston tx,0.8997533209453225
143,135a3b285c2aad9889164c07709d2e1c,harris,houston tx,0.8995170065751559
144,d1b88f1e5448754ee52645bdce6c84e2,chambers,houston tx,0.8993650535620631
145,b95edfd8ca1cec0fdd099431925dff87,harris,houston tx,0.8987023694319609
146,dfb459af961f9c9d64506477c965532f,harris,houston tx,0.8964178411455448
147,56c12340d9e11b0bb1ba7d145fec12b1,brazoria,houston tx,0.8957126151286696
148,5fd6610283da1ac68423d619d941cadc,harris,houston tx,0.8953688181828768
149,d164ac8af2e59eab016f399f6b3de1e5,harris,houston tx,0.8925871455451068
150,f6c6aaddf2de139529386d57bda34acd,galveston,houston tx,0.8902092053708011
151,568dd78c4f140ea0581791657728ad26,harris,houston tx,0.8899103712151839
152,cbe426f12fde78a7cc04597a13a2a07c,harris,houston tx,0.8892753486583544
153,2f6b38e3a06c80a7bbca1a89ef7897f4,harris,houston tx,0.8882472710597153
154,6ca9dda39574b97219bbc4f6608692b1,grimes,houston tx,0.8881264159012496
155,48a70856520cf810d9568dc10a91c673,harris,houston tx,0.8853547401554688
156,c940f1330d441daa8829191e817ca2a1,harris,houston tx,0.883709968625469
157,782b515284acc8c1351277751d782ec7,harris,houston tx,0.8807235658299746
158,69c70790f94f27c3da718bae0ced94eb,harris,houston tx,0.880499032795192
159,d9658c57fd3f1168a4356487de2814bb,harris,houston tx,0.8789282364322497
160,a65e356c50d5fd756d6c1262259b773a,brazoria,houston tx,0.8784373834446735
161,dd281e077ae9cb050fdd7e73f7cf340a,liberty,houston tx,0.8758876828691733
162,01fefcf19c9ad69fe9b9d9ee8b6a0520,harris,houston tx,0.8750512771716903
163,869ce752d5c6283cb95f515fa8151f95,harris,houston tx,0.8746598887783436
